,compset_id,hellodata_id,property,comp,lat,lon,zip
52,61992,bff8ed1c-9992-56c0-826a-b6d86eeeed4d,Perimeter 5550,Arches at Glenridge,33.90839,-84.36393,30342
53,61992,2cd68d15-e3ac-51a3-a840-a3677868a3e7,Perimeter 5550,Aven Chastain,33.8902,-84.3797,30342
54,61992,f1ffd771-1d1b-5e89-9800-5dd3ebe24858,Perimeter 5550,Charleston Court,33.90408,-84.37311,30342
55,61992,76e96e68-b596-5085-ae10-75d7ee6713a3,Perimeter 5550,Bell Glenridge,33.90795,-84.36046,30342
56,61992,6f2fc1cc-c4dd-5542-bbc0-e869132eb995,Perimeter 5550,Hawthorne Gates,33.952,-84.35539,30328
57,61992,4aececd4-d302-5a04-9188-9923d0cf9519,Perimeter 5550,Park at Chastain Apartments,33.8867,-84.37913,30342
58,61992,54133137-964b-537a-a04a-8ca6524bc538,Perimeter 5550,The Stratford,33.90356,-84.37187,30342
59,61992,9a1d23a6-18ab-570a-8c33-5fd41147765a,Perimeter 5550,Westmount at Ashwood,33.9326,-84.34247,30338
60,61992,d01ce880-0597-5794-bef7-00c85728e446,Perimeter 5550,Adley City Springs,33.92072,-84.37844,30328
61,61992,c3bd1519-44eb-5762-bece-775d48da5864,Perimeter 5550,Cortland at the Hill,33.90555,-84.34859,30342
62,61992,edd83639-e2d6-565c-b7be-6f01cbe5cbe3,Perimeter 5550,Dunwoody Ridge,33.95256,-84.35358,30328
63,61992,afe1fd02-c1bd-5ca9-9294-2ca073e4f8fc,Perimeter 5550,1160 Hammond,33.91934,-84.34861,30328
64,61992,439fea63-1571-5dad-99e4-3d9ffb58950c,Perimeter 5550,Sirona,33.90437,-84.36867,30342
65,61992,c063434f-73e4-5ab5-90fa-d6266a1e62b8,Perimeter 5550,Aspire Perimeter,33.90216,-84.35206,30342
66,32432,88790c6f-57d8-588d-81e1-12fe9557b1a2,Cambridge at Hickory Hollow,Cambridge at Hickory Hollow,36.05784,-86.64043,37013
67,32432,8515151d-bbed-51da-89ae-ad64201ab132,Cambridge at Hickory Hollow,The Ravelle at Ridgeview,36.05238,-86.64003,37013
68,32432,71340d39-de3c-5fbf-9f01-9fb17e97c0e0,Cambridge at Hickory Hollow,Avana Overlook,36.0566,-86.64434,37013
69,32432,e51fc4b6-fdf2-5c82-9578-f97a39bfd798,Cambridge at Hickory Hollow,Novo Hickory Highlands,36.05457,-86.65362,37013
70,32432,58615bec-db72-5c11-b99d-a725ddcbc6e3,Cambridge at Hickory Hollow,Preakness Apartments,36.06029,-86.6365,37013
71,32432,57d68e10-0a41-58c9-be62-be87d5be667e,Cambridge at Hickory Hollow,The Stockwell Apartments,36.05407,-86.6406,37013
72,32432,c047b8d7-0246-59b0-957a-459b9d581949,Cambridge at Hickory Hollow,Waterford Crossings,36.03659,-86.63957,37013
73,32432,d57bea89-0ff5-5bd2-9f1c-7e435fe59137,Cambridge at Hickory Hollow,Mainstead at Century Farms Apartments,36.03224,-86.65098,37013
74,32432,9cf4021b-8ce9-59b8-8a11-271f69e65667,Cambridge at Hickory Hollow,Lyric on Bell,36.04315,-86.66556,37013
75,62979,c562d284-4107-5386-9130-a2ed87f4382b,Cortland on McKinney,Cortland on McKinney,32.78954,-96.80372,75201
76,62979,9cae3509-5b46-5835-9ac1-fa53bbe777fe,Cortland on McKinney,The Christopher,32.7891,-96.8061,75201
