hellodata_id,hellodata_property,oslPropertyID,ParentAssetName
6e5256e0-849d-5a84-9c81-cb31867fcf50,Cortland Arbor Hills,4559217,Cortland Arbor Hills
9cc6c387-215c-542c-ac00-cd3e290b295b,Cortland Onion Creek,4559218,Cortland Onion Creek
6a321465-b446-521a-887d-6c3530ccfd1e,Cortland Estates at TPC,4559220,Cortland Estates at TPC
9d3a4ba5-d811-5770-98aa-351067da3921,Cortland Chandler Crossing,4559238,Cortland Chandler Crossing
3e6f8e4d-43d4-59d7-9c6f-610e94fa4372,Cortland at Valley Ranch,4559239,Cortland at Valley Ranch
f50bfbc7-d888-5e59-aa3f-350fb16f1b55,Vistas at Hackberry Creek,4559240,Vistas at Hackberry Creek
beb9fa2d-2dcf-5106-9f0a-33fdd99c81f9,Cortland League City,4559242,Cortland League City
6691ec72-c886-59a8-95e9-05276479ae4c,Cortland Legacy,4559244,Cortland Legacy
b4d49cf0-609d-5462-9c6a-70d63779b8d1,Cortland Oak Lawn,4559245,Cortland Oak Lawn
b0af7e88-cea3-5258-af7e-7742661f1cf2,Cortland Peachtree Corners,4560716,Cortland Peachtree Corners
06fbbbdf-0268-5724-8a29-377134cb7e6e,Cortland Reunion,4572520,Cortland Reunion
c3bd1519-44eb-5762-bece-775d48da5864,Cortland at the Hill,4588719,Cortland at the Hill
086b0753-b2b7-5d40-8b56-00f1010480c2,Cortland Westshore,4592949,Cortland Westshore
c05bb5d6-715c-512b-b83b-b3a58ec2b987,Cortland Farmers Market,4593129,Cortland Farmers Market
cf7c95a1-6449-5a57-8b68-f30fb14868d5,Cortland Duluth,4601568,Cortland Duluth
2e8234c7-077c-5219-8eb0-0a539d77de9c,Cortland Bull City,4602295,Cortland Bull City
b5f3ec5c-bc3e-5a3d-b0b6-2ba1a6f5ae60,Cortland Grand River,4607018,Cortland Grand River
32aef535-2e95-597a-980a-d7ddb95c351f,Cortland Flatirons,4610739,Cortland Flatirons
7f814d14-b5a9-5e61-93ca-a5088cf2a726,Cortland at Coalton,4645665,Cortland at Coalton
97ab14ec-f4ab-5571-9aa3-221dff6ca345,Cortland Inkwell Greenhouse,4645673,Cortland Inkwell Greenhouse
5ad192c2-53f8-5cd4-b82f-e55dc41edf4e,Cortland Allen Station,4645678,Cortland Allen Station
f36aa2f7-4299-58db-bb7c-5eae08b869b5,Cortland NoDa,4670796,Cortland NoDa
acc7c715-95d9-50d7-b83f-fd9a21390e5f,Cortland Delray Station,4675584,Cortland Delray Station
2ae590c2-a91a-5121-b4e8-fd6628b12ad8,Cortland South Mountain,4693422,Cortland South Mountain
510e1908-58b0-50a0-9d74-d3731738d66b,Cortland Biltmore,4698067,Cortland Biltmore
87c41956-f3f7-5a87-9eb5-8d90a5825ed5,Cortland at Raven,4704990,Cortland at Raven
ced8a24a-3e29-56e7-81e5-550ae3b3fd1e,Cortland Northlake,4721957,Cortland Northlake
e20fbe76-c9ee-5476-a755-f32c7541ff03,Cortland Powell,4721959,Cortland Powell
b3af76bc-7db6-5cdb-8323-0d6c4a6861f5,Cortland Hollywood,4726531,Cortland Hollywood
a1d8a297-2324-5081-beb4-b9c7b910a203,Cortland Ridglea,4734633,Cortland Ridglea
1e38a6f3-d285-54bd-a391-6f43e6c5ba91,Cortland Windward,4740089,Cortland Windward
234cb934-41f1-522a-bf49-bc198503d9c5,Cortland Highcroft,4749850,Cortland Highcroft
8847545a-56f5-545e-84b7-f5bf4a157b2e,Cortland Olde Raleigh,4749856,Cortland Olde Raleigh
28f17fa3-5302-514f-aca3-56870b2609e3,Cortland Cary,4755410,Cortland Cary
9ee0890e-b786-5391-8307-c8c704846262,Cortland on Orange,4770369,Cortland on Orange
8fcc9e67-6132-57be-9205-23d32daf2cc9,Cortland Oleander,4770692,Cortland Oleander
309d82d0-7015-5d63-9d73-e5a19f0fd7ea,Cortland Cap Hill,4775237,Cortland Cap Hill
8b94f6c7-15cd-55e6-b4ae-5092dea4c64e,Cortland at 2534,4785987,Cortland at 2534
326a736d-2c5c-5f8e-b2f9-e001a71fb059,Cortland Sunbury,4788648,Cortland Sunbury
202ea165-abdc-5d17-ab55-e568cc37527b,Cortland Deerfield Station,4793818,Cortland Deerfield Station
2add1b70-84c9-5410-bbe3-774a1f8b0db3,Cortland Uptown Boca,4832185,Cortland Uptown Boca
038a83fd-1e48-576f-807f-8ecf7f69a587,Cortland on the Loop,4834443,Cortland on the Loop
62066b6d-58e8-55a1-ab36-c254ec1f8253,Cortland on Blake,4840647,Cortland on Blake
